Capacity,ParallelTime,Speedup
1,0.508,37.88976377952756
2,0.511,37.66731898238748
4,0.532,36.18045112781955
8,0.596,32.29530201342282
16,0.539,35.71057513914657
32,0.643,29.934681181959565
64,0.615,31.29756097560976
